ఇద్ నావ పేడి	ఈమె నా కూతురు
మీవ నాటె సమ్రి సుద్రన్త కీకట్	మీ ఊరిలో అంత అభివృద్ధి చేయుదం
మీవ నాటె సడక్ వాటు సీకట్	మీ ఊరిలో రోడ్డు వేయిద్దం
మీవ నాటె యేతున్ లాసి కుహి కాచు సీకట్	మీఊరిలో నీరు కోసం బావి తవ్విపిద్దం
మీవ నాటె కరబ్ యేర్ సౌందన్ సాటి కాల్వ దొహుసీకట్	మీ ఊరిలో మురికి నీరు వేళ్ళడానికి కాలువలు నిర్మిద్దం
మీవ నాటె కరంట్ వయిర్ ఉమ్కుట్	మీ ఊరిలో కరంట్ కోసం వైర్ తీసుకుందం
హో సాబ్, నీ హిందల్ ఇవ్ కామ్కే కీకట్	అవును సార్ నీ తరఫున ఈ పనులన్ని చేద్దం
యే దాద, లింగున రోన్ బేకె మంత?	అన్న లింగు ఇళ్లు ఎటు ఉన్నది?
వోన రోన్ హక్కె మంత, పోలీస్ సాబ్	అతని ఇల్లు అటు ఉంది పోలీస్ సార్
బాయి, నిమ్మ బాహన్ మంతొర్?	అక్క, మీరు ఎలా ఉన్నారు?
హో పోలీస్ సాబ్, మంతొర్	అవును పోలీస్ సార్ ఉన్నారు
లింగు దాద, నిమ్మె బహ్రి వా	లింగు అన్నయ్య నీవు బయటికి రా
సాబ్, నిమ్మె మా రోన్ బారి వాతి?	సార్ మీరు మా ఇంటికి ఎందుకు వచ్చారు?
నిన్నె జంగు అని నిమ్మె జడగ కీతిట్ బెర్రే	నిన్న జంగుతో నీవు గోడవ చేసారటా
హో పోలీస్ సాబ్, కీతోం	అవును పోలీస్ సార్ చేసాము
జంగు నీవ పొర్రొ పిరాది పోలీస్ స్టేసన్ తే సీతోర్	జంగు నీ మీద పోలీస్ స్టేషన్ లో పిర్యాదు చేసాడు
బతత్ లాసి నా పొరొ పిరాది సీతోర్?	దేని కోసం నా పైన పిర్యాదు చేసాడు?
నిమ్మె బెర్రే వోన్ పాతి	నీవు అతన్ని కొట్టవాట
నిమ్మె వోన్ బారి పాతి?	నీవు అతన్ని ఎందుకు కొట్టావు?
వోర్‌ నాకున్ పాతోర్ ఇంజేర్, నన్న వోన్ పాతోన్	అతను నన్ను కొట్టాడు నేను అతన్ని కొట్టాను
నిమ్మె వోన్ బతతె పాతి?	నీవు అతన్ని దేనితో కొట్టావు?
నన్న వోన్ కెయై పాతోన్	నేను అతన్ని చేతితో కొట్టాను
నిమ్మె వోన్ బగ పాతి?	నీవు అతన్ని ఎక్కడ కొట్టావు?
నన్న వోన్ కొర్వితగ పాతోన్	నేను అతన్ని చేంప మీద కొట్టాను
నిమ్మె వోన్ బతత్ హిందల్ పాతి?	నీవు అతన్ని దేని వల్ల కొట్టావు?
నావంగ్ కొత్తంగ్ సియ్యకి ఇంజేర్ పాతోన్	నా పైసలు ఇవ్వలెదని కొట్టాను
ఇంకె నా సంగ వా, పోలీస్ స్టేషన్ దాకట్	ఇప్పుడు నాతో రా! పోలీస్ స్టేషన్ వెళ్ దాం
హొ సాబ్, నా సంగ వాoతోన్	అవును సార్ నీతో వస్తాను
బెయే, నిమ్ హాటుం సోన్	అమ్మ నువ్వు అంగడికి వెళ్ళు
హొ, దాక మెంజె	అవును వెల్తాను
నిమ్మె హాటుం కీసి తర్	నువ్వు అంగడి చేసి తీసుకు రా
హొ, తర్క మెంజె	అవును, తెస్తాను
నీకున్ బతల్ తర్క కోకొ?	నీకు ఏమి కావాలి బాబు?
నాకున్ పాటి అని లికన్ కోలా తర్	నాకు పలక మరియు బలపం తీసుకురా
హొ, తర్క మెంజె	అవును, తెస్తాను
నిమ్మె హాటుం కీసి వెయ్నె వా	నీవు అంగడి చేసి తొందర తిరిగి రా
హో కోకో, వాంతోన్	అవును, బాబు వస్తాను
యే దాద, సాడ కాండిర పాటి తొహ	అన్నయ్య బడి పిల్లల పలక చూయించండి
బాయి, ఇవ్ పాటింగ్ సూడ	అమ్మ ఈ పలకలు చూడండి
ఇద్ పాటిత బచ్చోర్ దర, దాద?	ఈ పలక ధర ఎంత అన్నయ?
తాన దహ రుపియంగ్, బాయి	అది పది రూపాయలు అమ్మ
ఉండే దుస్త్రా తొహ, దాద, కమ్మి దరత	వేరే చూయించండి తక్కువ ధరయ్
కమ్మి దరత సిల్లె, బాయి	తక్కువ ధరయ్ లేవు అమ్మ
దుస్రా దుకనతగ కమ్మి దరత పాటి మందర్(పుట్టర్), దాద?	వేరే దుకాణంలో తక్కువ ధర పలకాలు దొరుకుతాయ?
బతలెయ్, బాయి	ఏమో అమ్మ
తేన దర రండ్ రుప్యంగ్ కమ్మి కీమ్, దాద	ఈ పలక ధర రెండు రూపాయలు తగ్గించండి అన్నయ్య
తేన దర ఉంది రుప్యంగ్ గిర్ కమ్మి ఆయొ, బాయి	దీని ధర ఒక రూపాయి కూడ తక్కువ కాదు అమ్మ
సియ్వి దాద, నా కాండిన్ సాటి	ఇయండి అన్నయ్య నా కొడుకు కోసం
వాయొ బాయి, నిమ్మె సొన్!	రాదు అమ్మ మీరు వెళ్ళండి!
కమ్మి దరతంగ్ పాటింగ్ బస్కే వానుంగ్ కోమ్టి, దాద	తక్కువ ధరయి పలకలు ఎప్పుడు వస్తాయి అన్నయ్య?
మర్ల హాటుం కమ్మి దరతంగ్ పాటింగ్	వాంతంగ్. బాయి, అస్కే వా
బతల్ పహ్జే, బాయి? వెహ!	ఏమి కావలమ్మ? చెప్పండి!
యేదాద, రగలిక్ మిర్చంగ్ బహన్ కిలో?	అన్నయ ఎండు మిర్పా కాయలు ఎట్ల కిలో?
మిర్చంగ్ 20 వీస రుప్యంగ్ కిలో. వా, యేత!	మిర్పా కాయలు 20 రూపాలు కిలో అమ్మ
ఉంది కిలో సీమ్, దాద	ఒక కిలో ఇవ్వండి అన్న
లసూన్కు పావ్ కిలో సీమ్	ఎల్లి గడ్డలు పావ్ కిలో ఇవ్వండి
ఉల్లింగ్ అర్ధొ కిలో సీమ్	ఉల్లి గడ్డలు అర్ధ/సగం కిలో ఇవ్వండి
కమ్మ పావ్ కిలో సీమ్	పసుప పావ్ కిలో ఇవ్వండి
బచ్చొంగ్ కొత్తంగ్ ఆతంగ్, దాద?	ఎన్ని రూపాయలు అయినాయి అన్న?
సమ్దినంగ్ జుమ్ల కీసి చాలిస్(40) రుప్యంగ్	ఆతంగి. బాయి, సీమ్!
దాద ఇద్ పన్నస్ (50) రుప్యక్ నోట్ దరా రుప్యంక్ మలుసి సీమ్	అన్న తీసు కొండి (50) రూపాయల నోటు, పది రూపాయలు తిరిగి ఇవ్వండి
హో, బాయి, సీంతొన్	అవును అమ్మ ఇస్తాను
యే దుకనదార్ దాద!	కిరాణ సౌకరి అన్న!
హా! బతల్ పహ్నె, బాయి?	హా అమ్మ ఏమి కావాలి?
ఉంది కిలో నుంగ్ నియ్ సీమ్	ఒక కిలో నువ్వుల/మంచి నూనె ఇవ్వండి
ఉంది కిలో సాకుర్ సీమ్	ఒక కిలో చక్కెర ఇవ్వండి
ఉంది కిలో జొన్నంగ్ సీమ్	ఒక కిలో జొన్నలు ఇవ్వండి
ఉంది కిలోపెరెక్ సీమ్	ఒక కిలో బియ్యం ఇవ్వండి
ఉంది కిలో తూరి డారి సీమ్	ఒక కిలో కంది పప్పు ఇవ్వండి
ఉండే దుస్రా బతల్ పహ్జా, బాయి?	ఇంకా ఏమి కావాలి చెప్పండి అమ్మ?
ఉంది యేర్ తుంగ్వల్ సాబున్ సీమ్	ఒక స్నానం చేసే సబ్బు ఇవ్వండి
ఉంది కోబ్రె నియ ద్దుడూర్ డబ్బ సీమ్	ఒక కొబ్బరీ నూనె చిన్న డబ్బ ఇవ్వండి
ఉంది కప్పింగ్ సుక్కన్ సాటి సోడ పాకెట్ సీమ్	ఒక సర్పు పాకెట్ ఇవ్వండి
సాపంగ్ బహన్ పావ్, బాయి?	వంకాయలు ఎట్ల పావ్ అమ్మ?
నాలుంగ్ రుప్యంగ్ పావ్ బాయి. వా, యేత!	నాలుగు రూపాయలు పావ్ అమ్మ. రా, తీసుకొ!
బాయి, జర దర కమ్మి కీమ్	అమ్మ కొదిగ ధర తగ్గించండి
బాయి మూంద్ రుప్యంగ్. వా, యేత!	అమ్మ మూడు రూపాలు దా తీసుకో!
పాన్ గోబే పావ్ కిలో సీమ్	ఆకు/పాన్ గోబి పావ్ కిలో ఇవ్వండి
బేండింగ్ పావ్ కిలో సీమ్	బెండ కాయలు పావ్ కిలో ఇవ్వండి
రుప్యత సమ్మార్ సీమ్	రూపాయి కొత్తిమీర ఇవ్వండి
రుప్యత మేతి బాజి సీమ్	రూపాయి మెంతి కూర ఇవ్వండి
రుప్యత కల్యప ఆకి సీమ్	రూపాయి కల్యమాకు ఇవ్వండి
బాయి, దర జర్ర-జర్ర కమ్మి కీమ్	అమ్మ కొద్దికొద్దిగ ధర తగించండి
కొత్తంగ్ సీమ్, బాయి	అమ్మ రూపాయలు ఇవ్వండి
హో, సీంతోన్	అవును ఇస్తాను
మర్క పండింగ్ బహన్ కిలో, దాద?	మామిడి పండ్లు ఎట్ల కిలో అన్న?
దహ రుప్యంగ్ కిలో, బాయి	పది(10) రూపాయలు కిలోఅమ్మ
అర్ధొ కిలో సీమ్, దాద	సగం కిలో ఇవ్వండి అన్న
కేరెంగ్ బహన్ డజన్, దాద?	అరటి పండ్లు ఎట్లా డజన్ అన్న?
దహ రుప్యంగ్ డజన్, బాయి	పది(10) రూపాయలు డజన్ అమ్మ
జామ్ పండి బహన్ ఉంది, దాద?	జామ పండు ఎంతకోక్కటి అన్న?
రుప్య ఉంది, బాయి	ఒక రూపాయి ఒకటి అక్క.
జిలాబి బహన్ కిలో, దాద?	జీలాబి ఎట్ల కిలో అన్న?
బార(12) రుప్యంగ్. వా, బాయి, బచ్చోర్ సీక వెహ!	రూపాయలు అక్క ఎంత కావాలి చెప్పండి!
రండ్ రుప్యంగ్ కమ్మి కీమ్. ఉంది కిలో యేతంతోన్	రెండు రూపాయలు తక్కువ ఇవ్వండి
ఉండే బతల్ పహ్జో, నా బాయి?	ఇంకా ఏమి కావాలి చెప్పండి అమ్మ?
భుంది లడ్డుంగ్ బహన్ ఉంది, దాద?	భుంది లడ్డులు ఎంత కోక్కటి అన్న?
రుప్య ఉంది, బాయి	ఒక రూపాయి అక్క.
మూండ్ లడ్డుంగ్ సీమ్	మూడు లడ్డలు ఇవ్వండి
