Gondi_Sentence	Telugu_Sentence
ఇద్ కామ్ కియ పరంతి?	ఈ పని చేయగలరా?
ఇద్ కామ్ నా సంగ కీమ్	ఈ పని నాతో చేయండి
వోర్ బోర్?	ఆయన ఎవరు?
వోర్ నివోర్ తాదల్ కి తమ్ముర్ ఆందుర్?	ఆయన మీ అన్ననా / తమ్ముడా?
వోర్ నావోర్ తమ్ముర్ / తాదల్ 	ఆయన నా తమ్ముడు / అన్న
వోన బత పొరోల్?	ఆయన పేరు ఏమిటి?
వోన పొరోల్ సుంగు	ఆయన పేరు సుంగు
వోర్ సాడతె బహన్ దాంతోర్?	అతను బడికి ఎలా వెళ్ళుతాడు?
వోర్ సాడతె బస్నె దాంతొర్	అతను బడికి స్కూల్ బస్లో వెళ్ళుతాడు?
అద్ బద్?	ఆమె ఎవరు?
అద్ నీవ సేలడ్ కి త్కక ఆంద్?	ఆమె మీ అక్కనా / చెల్లెనా?
నీక్ బచ్వీర్ తాదల్ తమ్ముర్ మంతేర్?	నీకు ఎంతమంది అన్నదమ్ములు ఉన్నారు?
నీక్ బచ్చొంగ్ సేలడ్ తక్కక్ మంతంగ్?	నీకు ఎంతమంది అక్కచెల్లెలు ఉన్నారు?
నీవుర్ బెయే బాబల్ ఆందిర్?	వాళ్ళు మీ తల్లి-దండ్రులా?
మీ బెయే బతల్ కామ్ కీంత?	మీ అమ్మగారు ఏం చేస్తారు?
మీ బెయే రోన్ మందంత	మ అమ్మగారు ఇంట్లో వుంటారు
మీ బాబల్ బహన్ మంతోర్?	మీ నాన్న గారు ఎల ఉన్నారు?
వోన్స్ సుస్తివాత్	ఆయనకు సుస్తీ చేసింది
మీ బాబల్ సర్కరి నవ్కరి వాలెయ్?	మీ నాన్న గారు ప్రభుత్వోద్యోగా?
సేల్లె మా బాబల్ సామన్ వోమంతొర్	కాదు మా నాన్న గారిది వ్యాపారం
మిమ్మెట్ బగ కామ్ కీంతిట్?	మీరు ఎక్కడ పని చేస్తారు?
సర్కర్ అపీస్ నగ కామ్ కీంతోన్	ప్రభుత్వ కార్యాలయంలో పని చేస్తున్నాను
ఊర్ బూర్?	వారెవరు?
ఊర్ నీవేర్ చుట్టల్క్ అందిర్?	వాళ్ళు మీ బంధువులా / చుట్టలు?
ఊర్ మా చుట్టల్క్	వారు మా బంధువులు / చుట్టలు
మా కాకల్ తిర్యానీతల్ వాతోర్	మా పిన తండ్రి తిర్యాణి నుండి వచ్చారు
నీక్ బచ్వీర్ కాండిర్-పేకింగ్ మంతేర్?	నీకెంతమంది పిల్లలు?
మీ కాండిన ఉమ్మర్ బచ్చోర్?	మీ అబ్బాయి వయసెంత?
వోంక్ బార సాల్క్	అతనికి పన్నెండేళ్ళు
నిమ్మె బగ మందంతి?	నీవు ఎక్కడ ఉంటావు?
మీ తాదల్ బద్దె పరీక్షత్ దాంతోర్ బతల్?	మీ సోదరుడు ఏదయినా పరీక్షకు వెళుతున్నాడా?
హొ ఐ.ఎ.ఎస్ పరీక్షత్ తెయర్ ఆంతోర్	అవును, ఐ.ఏ.ఎన్. పరీక్షకు తయారువుతున్నాడు
ఇంకె బగ దాంతి జంగు?	ఇప్పుడెక్కడకు వెళ్ళుతావు జంగు?
మా రోన్ దాంథోన్	మా ఇంటికి వెళ్ళుతాను
నేండ్ సిత్తూర్ మంత	ఈ రోజు చల్లగా ఉంది
నేండ్ యెద్ది మంత	ఈ రోజు చాలా వేడిగా ఉంది
నేండ్ హాబర్ గప్నె ఆత	ఈ రోజు ఆకాశం మబ్బుగా ఉంది
నేండ్ పిర్ వాయర్?	ఈ రోజు వర్షం వస్తుందా?
పిర్ సురు ఆత	వర్షం మొదలైంది
పిర్ వాంత	వర్షం వస్తుంది
యెద్ది బయ్ తెరంత	ఎండ చాలా వేడిగాఉంది
నేండ్ పున్నక్ మంత	నేడు పూర్ణిమ నిండుగా ఉన్నాడు
నేండ్ వడి జోరై వాసెర్ మంత	ఈ రోజు గాలి చాలా బలంగా వస్తుంది
నేండ్ సరి వత్త	దారి మంచిగా ఎండినది
సరి చిక్ల ఆత	దారీ చాలా బురదగా ఉంది
కేరెంగ్ వొమ్తి?	నీవు అరటిపండ్లు అమ్మినావా?
నిహ్గా బచ్చొంగ్ మంతంగ్?	నీ దగ్గర ఎన్ని ఉన్నాయి?
నహ్గా ఇచుంగ్స మంతంగ్	నా దగ్గర కొన్ని ఉన్నాయి
నహ్గ వెల్లె మంతంగ్	నా దగ్గర చాలా ఉన్నాయి
నా కేరెనింగ్ సమ్మి మార్తంగ్	నా అరటిపండ్లు మొత్తం అయిపోయినాయి
అవ్ పండింగ్ ఆందుంగ్?	అవి పండి నాయా?
తేన బచ్చోర్ దర?	దీని ధర ఎంత?
నన్న ఇద్ యేతన	నేను దీనిని కొనాలని అనుకుంటున్నాను
నన్న ఇద్ యేతొన్	నాకు దీనిని కొనాలని లేదు
బయ్ కూసి!	చాలా సంతోషమైన విషయం!
వెల్లె పరిసాన్!	చాలా విచారించవలసిన విషయం!
పేన్ద దయ!	దేవుని దయ!
పేన్ద ఆసిర్వద్నె!	దేవుని దయ వలన!
బయ్ చొకొట్ కీతేర్!	అద్భుతంగా చేశారు!
బత సోబతే!	అతి సుందరం!
బయ్ సోబత!	ఎంత అందమయింది!
అంత! ఇంకె దబ్ మన్!	చాల్లెండి!/ఇక ఆపండి!
హిక్కే కేంజ!	ఇదిగో!
బత మానం సెల్లె!	ఎంత అవమానకరం!
బత వేరినల్!	ఎంత భయంకరం!
వెయ్నే ఆయి!	తర్వగా కానివ్వండి!
కరల్!	నిజంగా!
హొ అచ్చొరే!	అవును అంతే!
హొ నన్నయ్ మేయ్తోన్!	హుర్రా! నేను గెలిచాను!
బత్తంగ్ వడ్కంతి!	ఎంత అర్థరహితము!/పిచ్చి వాగుడు!
నాకున్ కర్ వస్తా	నాకు ఆకలేస్తుంది
యేర్ వట్క వస్తా	నాకు దాహం వేస్తుంది
నన్న హట్టె మాతోన్	నేను అలసి పోయాను
నన్న చహ ఉంటోన్	నేను టీ(ఛాయ) త్రాగుతాను
జేవున్(గాటొ) తయార్ ఆత	భోజనము(అన్నము) తయారైంది
ఇంకె రోన్ దాకట్	ఇప్పుడు ఇంటికి వెళ్ళుదాము
ఇద్ యేత	ఇది తీసుకో
ఇద్ నిహ్గా ఇర	ఇది నీ దగ్గర ఉంచుకో
ఇద్ చహ గోడ్ మంత	ఇది ఛాయ తియ్యగా ఉంది
ఇద్ యేర్ కినన్ మంత	ఈ నీళ్ళు చల్లగా ఉన్నాయి
నా పెట్టి నింతప్ మంత	నా కడుపు నిండి నట్లుగా ఉంది
మాఫ్ కీమ్	నన్ను క్షేమించండి
నన్న సాపంగ్ తినోన్	నేను వంకాయ తిన్నను
నన్న పూసి కియ్యల్ మారుంగ్ తోన్	నేను అడగడము మరచి పోయాను
మొడ్డె నురమ్త	పాప నిద్రిస్తుంది
పేడి కటుడ్గ నర్మంత	పాప మంచము మీద పడుకుంది
ఇంకె మరట్ సొంజి తిన్కట్	మనం ఇప్పుడు తినుటకు వెళ్ళుదాము
ఇంకె  మొమొట్ నరుమ్	మనము ఇప్పుడు నిద్ర పోదాము
మొమొట్ ఆంగ్డే కొట్సి మహతోం	చొక్కా కుట్టడము ముగించినాము
నిమ్మె బయ్ కామ్ కీతి	నీవు చాలా కష్టపడి పని చేశావు
నిమ్మె చొకొట్ కామ్ కీతి	నీవు చాలాబాగ పని చేశావు
ఇద్ బయ్ జడ్ సిల్లె	ఇది చాలా బరువుగా లేదు
అద్ బమ్ లంగ్ సిలె	అది చాలా దూరం లేదు
కాండిర్ సాడతల్ రొహ్క్ సొంజేర్ మంతేర్	మగ పిల్లలు బడి నుండి ఇంటికి వెళ్ళుతున్నారు
మొడ్డై అడ్సేర్ మంత	పాప ఏడుస్తుంది
వోర్‌ అగ సెల్లోర్	ఆయన అక్కడ లేరు
నన్న గాటొ అట్స్ేర్ మంతోన్	నేను అన్నం వండుతున్నాను
నన్న పుస్తక్ వాచి కీసేర్ మంతోన్	నేను పుస్తకం చదువుతున్నాను
మొమొట్ హాటుం సొంజేర్ మంతోం	మేము అంగడికి(బజార్) పోతున్నాము
ఇంకె మొమొట్ టుं దాంతోం	మేము అంగడికి(బజార్) ఇప్పుడు వెళ్తాము
నన్న నాడి మల్సి వాంతోన్	నేను రేపు తిరిగి వస్తాను
నన్న రెండ్, మూంద్ రోజ్క్నె మల్సి వాంతోన్	నేను రెండు, మూడు రోజుల తర్వాత తిరిగి వస్తాను
వోర్ నిన్నె సొత్తోర్	ఆయన నిన్న వెళ్ళి పోయాడు
వోర్ నిన్నె సకై సాతోర్	ఆయన నిన్న ప్రొద్దున వెళ్లాడు
వోర్ అస్కేన్ సాడితోర్	ఆయన ఎప్పుడో వెళ్ళి పోయాడు
నీక్ సుకంసెల్లె?	నీకు రోగం ఉంది?
బస్కెడల్ సుకం సెల్లె?	ఎంత కాలం నుండి జబ్బుగా ఉంది?
నిమ్మె కకంతి?	నీకు వాంతులు వస్తున్నాయా?
నీక్ మెయ్దన్ వాంత?	నీకు విరేచనాలు అవుతున్నాయా?
నావ తల్ల నోంత	నాకు తలనొప్పి ఉంది
ఇంకె చొకోట్ మంతి?	నీవు బాగున్నావా?
కాండిన్ యెత్త	బాబును ఎత్తుకోండి
పేడిన్ యెత్త	పాపను ఎత్తుకోండి
నాక్ తోహా	నాకు చూపించండి
తొడి డక్కె కీమ్	మీ నోరు తెరవండి
గోలి మింగ	గోలి(మాత్ర) మ్రింగండి
ఇద్ చక్ ఇర	ఇది శుభ్రంగా వుంచండి
ఇద్ మర సక్రేనుల్పె సోక	ఈ మందును ఉదయము, సాయంత్రము రాసు కోండి
తాడ్ క	గోకవద్దు
నిమ్మె గోలింగ్ మార్తెకె, మల్లా వా	గోలీలు అయిపోయిన తర్వాత మళ్ళీ రండి
నిమ్మె బారి వాతి?	మీరు ఎందుకు వచ్చారు?
బహన్ నోయ్యల్ సురు ఆత?	ఎలా నొప్పి మొదలైంది?
బస్కేడల్ నోయ్యల్ సురు ఆత?	ఎప్పటి నుండి నొప్పి మొదలైంది?
బస్కే జాస్త నోయ్యల్ సురు అంత?	ఎప్పుడు నొప్పి ఎక్కువ అవుతుంది?
బగ నోయ్యల్ సురు ఆత?	ఎక్కడ నొప్పి మొదలైంది?
ఇంకె బగ నోసేర్ మంత?	ఎక్కడ నొప్పి ఉంది?
బహన్ నోసేర్ మంత?	ఎట్లా నొస్తుంది?
నీవ మేందొల్ నోంతకీ? చుబ్బ-చుబ్బ ఆంత?	నీ శరీరము ఉబ్బి నట్టు అనిపిస్తుందా?
నీకున్ బస్కే-బస్కే హీన్ అంత?	నీకు ఎప్పుడెప్పుడు ఇలా అవుతుందా?
నోనెకే నీకున్ జోప్ వాంత?	నొప్పితో నీకు నిద్ర వస్తుందా?
నీకున్ బహన్ యెడ్కి వాత?	నీకు ఎలా జ్వరము వచ్చింది?
నీకున్ బస్కే-బస్కే యెడ్కి వాత?	నీకు జ్వరము ఎప్పుడెప్పుడు వచ్చింది?
నీకున్ బహన్ చక్కర్ వాంత?	నీకు ఎలా ఛక్కర్ వస్తుంది?
నిమ్మె ఇద్ నొప్పిత్ సాటి బతల్-బతల్ కీతి?	నీవు ఈ నొప్పి కోసం ఏం ఏమి చేశావు?
నిమ్మె గోలింగ్ మింగ్ తి కీ?	నీవు గోలి(మాత్ర) మ్రింగావ?
నిమ్మె గోలింగ్ బారి మింగ్ మకి?	నీవు గోలి(మాత్ర) ఎందుకు మ్రింగ లేదు?
నిమ్మె టానిక్ మర్ర ఉట్టి?	నీవు టానిక్(మందు) త్రాగినావ?
నిమ్మె టానిక్ మర్ర బారి ఉన్మకి?	నీవు టానిక్(మందు) ఎందుకు త్రాగలేదు?
నీకున్ మొదొల్ బస్కే-బస్కే హీన్ ఆత?	నీకు మొదలు ఎప్పుడెప్పుడు ఇలా అయింది?
బహన్ కీతెకె నీవ నొయ్యల్ కమ్మి ఆయార్?	ఏమి చేస్తే నీ నొప్పి తగ్గును?
నీకున్ బగటల్ బహన్ యెడ్కి సురు ఆత?	నీకు ఎక్కడి నుండి ఎట్లా జ్వరము వచ్చింది?
నీకున్ మొదొల్ బస్కే హీన్ ఆసి మత్త?	నీకు ఇంతకు ముందు ఎప్పుడైన ఇలా వచ్చిందా?
మీ నాటె బోనె హీన్ ఆసి మత్త?	మీ ఊరిలో ఇంతకు ముందు ఇలా ఎవరికైన ఉండేనా?
నిమ్మె బగ మందంతి?	నీవు ఎక్కడ ఉంటావు?
నిమ్మెట్ అన్వల్ యేర్ బగటల్ తరంతిట్?	మీరు త్రాగే నీరు ఎక్కడి నుండి తెస్తారా?
నిమ్మెట్ అన్వల్ యేర్ కుహితల్ తరంతిట్?	మీరు త్రాగే నీరు బావి నుండి తెస్తారా?
నిమ్మెట్ ఉన్వల్ యేర్ బోరింగ్న తరంతిట్?	మీరు త్రాగే నీరు బోరింగ్ నుండి తెస్తారా?
నిమ్మెట్ ఉన్వల్ యేర్ డోబిత తరంతిట్?	మీరు త్రాగే నీరు గుంత నుండి తెస్తారా?
అడ్ డోబితగ మీన్క్ మంతంగ్?	ఆ గుంతలో చేపలు ఉన్నాయా?
నిమ్మెట్ ఉన్వల్ యేర్ చెల్మెత తరంతిట్?	మీరు త్రాగే నీరు(చల్మ) నుండి తెస్తారా?
నిమ్మెట్ ఉన్వల్ యేర్ కుడేడ్త తరంతిట్?	మీరు త్రాగే నీరు వాగు నుండి తెస్తారా?
నిమ్మెట్ ఉన్వల్ యేర్ తడాయిత తరంతిట్?	మీరు త్రాగే నీరు చెరువు నుండి తెస్తారా?
నిమ్మెట్ బస్కెన్ పిర్ద యేర్ ఉట్టిట్?	మీరు ఎప్పుడైన వర్షం నీరు త్రాగరా?
మీవ నాటె యేత టాకి మంత?	మీ ఊరిలో నీళ్ళ ట్యాంకు ఉందా?
అద్ కుడేడ్తగ(లవ్దితగ) మీన్స్ మంతంగ్?	ఆ వాగులో చేపలు ఉన్నాయా?
నిమ్మె ఉండే బేమారితల్ చొకొట్ అయ్యకి	మీరు ఇంకా జబ్బు నుండి కోలుకోలేదు
జీవతున్ సాటి నిమ్మె బీడి ఉన్వల్ బంద్ కీమ్	మీరు పోగ తాగడం మాని వేయాలి
వోన్ దవాఖన తగ సెరిక్ కీతోర్	అతనిని ఆస్పత్రిలో చేర్చారు
బోర్ నెయున్ పాతోర్?	ఎవరు కుక్కని కొట్టారు?
బోర్-బోర్ గాటొ తిత్తేర్?	ఎవరెవ్వరు అన్నం తిన్నారు?
మనోజ్ బదెన్ / బోన్ పాతోర్?	మనోజ్ దేనిని/ఎవరిని కొట్టారు?
తేజ బదెన్ / బోన్ పాత?	తేజ దేనిని/ఎవరిని కొట్టింది?
మనోజ్ కొత్తంగ్ బోన్ సీతోర్?	మనోజ్ ఎవరికి డబ్బులిచ్చాడు?
మనోజ్ నెయున్ బాపె పాతోర్?	మనోజ్ కుక్కని దేనితో కొట్టాడు?
వోర్ బోన్ హిందర్ కామ్ యేత్తోర్?	అతను ఎవరి తరుపున పని తీసుకున్నాడు?
మనోజ్ బోనోర్ కొండి?	మనోజ్ ఎవరి కొడుకు/కుమారుడు?
ఇవ్ పొంటిల్క్ బోనంగ్?	ఈ కలములు ఎవరివి?
మనోజ్ నయ్స్ బగ్ వాతోర్?	మనోజ్ కుక్కని ఎక్కడ కొట్టాడు?
మనోజ్ నెయున్ బగటల్ పాతోర్?	మనోజ్ కుక్కని ఎక్కడి నుండి కొట్టాడు?
మనోజ్ నెయున్ బస్కే పాతోర్?	మనోజ్ కుక్కని ఎప్పుడు కొట్టాడు?
మనోజ్ నెయున్ బెందల్ పాతోర్?	మనోజ్ కుక్కని ఎట్టు నుండి కొట్టాడు?
మనోజ్ బెందల్ వాతోర్?	మనోజ్ ఎట్టు నుండి వచ్చాడు?
నిమ్మె ఇద్ సారి బహన్ సుర్తి?	నీవు ఈ రొట్టె ఎలా చేశావు?
మనోజ్ నెయ్దున్ బహన్ పాతోర్?	మనోజ్ కుక్కని ఎలా కొట్టాడు?
మనోజ్ నెయ్స్ బారి పాతోర్?	మనోజ్ కుక్కని ఎందుకు కొట్టిండు
వోన కామ్ బహన్ మంత?	అతని పని ఎలా ఉంది?
మనోజ్ బహన్ సొత్తోర్?	మనోజ్ ఎలా వెళ్ళాడు?
టెబల్త్ పొరొ బచ్చొంగ్ మర్క పండింగ్ మంతంగ్?	బల్ల మీద ఎన్ని మామిడి పండ్లు ఉన్నాయి?
రోన్ బచ్చొంగ్ పెరెక్ మంతంగ్?	ఇంట్లో బియ్యం ఎన్ని ఉన్నాయి?
సాడిత దర బచ్చోర్?	చీర ధర ఎంత?
ఉండే	మరియు
మనోజ్ అని తేజల్ హాటుం సొత్తేర్	మనోజ్ మరియు తేజ బజార్/అంగడి వెళ్ళారు
మొమొట్ బస్నె సోత్తోం అని పండింగ్ తత్తోం	మేము బస్సులో వెళ్ళీ ఫళ్ళు తెచ్చాము
తెర్	లేదా
మనోజ్ తెర్ తేజ తెర్ వానిర్	మనోజ్ లేదా తేజ రావచ్చు
వోర్ బస్నె తెర్ ఆటొతె తెర్ దానూర్	అతను బస్సు ద్వారా లేదా ఆటో ద్వారా వెళ్ళవచ్చు
హాటుమ్న కొర్ తెర్ మీన్క్ తెర్ యేత	బజార్ నుండి కోడి లేదా చేపలు తీసుకొండి
కీ	నాడు
గోపాల్ ఇంజేర్ మంతోర్ కీ వోర్ సొంజేర్ మంతోర్	గోపాల్ చెప్తున్నాడు అతను వెళ్ళుతున్నాడు
మనోజ్ ఇత్తోర్ కీ దుకన్ బంద్ ఆత	మనోజ్ అన్నాడు దుకాణం తాళ్ళ ఉంది
నన్న వోన్ ఇత్తోన్ కీ నన్న నాడి ఉండే వాయ పరోన్	నేను అతనికి అన్నాను నేను రేపు కూడడ తిరిగి రాను
అదెన్ సాటి	అందు కొరకు
వోన్ బయ్ కర్వాస్త అడెన్ సాటి మర్క పండి తిత్తోర్	అతనికి చాలా ఆకలిగ ఉండే అందు కొరకు
బారితైకె	ఎందుకంటె
