Gondi Sentence	Telugu Translation
మర్మిన్క్ అటుమ్ కుటుమున్ సమ్దిర్క్ కేయంతెర్.	పెండ్లిలో చుట్టాలందరిని పిలుస్తారు.
అటొతున్ మూంద్ గారెంగ్ మందంతంగ్.	ఆటో కు మూడు చక్రాలు ఉంటాయి.
కామ్ కీయ్నెకె ఆడ బుడ్డ అయ్వ.	పని చేసేటప్పుడు అడ్డదిడ్డముగా రావద్దు.
పోడ్దున్ అడ్డమ్ టెప్ప ఆత.	సూర్యునికి అడ్డముగా మేఘం వచ్చింది.
బాబల్ బయ్యెన్ పానెకె కాండి అడ్డమ్ ఆతొర్.	నాన అమ్మను కొట్టే టప్పుడు కొడుకు అడ్డుకున్నాడు.
నిన్నెతల్ అడ్డంవడి వాసెర్ మంత.	నిన్నటి నుండి అడ్డంగా గాలి వీస్తుంది.
ఆడ్ముట్ కామ్ కియ్వన్ అడ్ముట్యల్ ఇంతెర్.	మోటు పని చేసే వాన్ని మోటువాడు అంటారు.
మొడ్డె అడ్సెర్ మంత.	పాప ఏడుస్తుంది.
బాబల్ కాండిన్ పాతెకె కాండి బయ్ జోర్తె అడంతొర్.	నాన కొడుకును కొట్టితే కొడుకు బాగా ఏడుస్తున్నాడు.
అద్ నార్ బయ్ సోబతె మంత.	ఆ ఊరు చాలా అందంగా ఉంది.
నన్న అదెన్ సాటి వాతొన్.	నేను దాని కోసం వచ్చాను.
నావ తల్లతున్ అద్మ.	నా తలను నొక్కు.
నిమ్మె బస్కె గిర్ అద్యయ్ కీసెర్ మన్.	నీవు ఎప్పటికీ అధ్యయనము చేస్తూ ఉండు.
వంజిన్ అద్లితె కహంతెర్.	వడ్లను తవ్వతో కొలుస్తారు.
వోన్ తెర్ వెల్లె నన్నయ్ అదిక్ కామ్ కీతొన్.	అతని కన్న నేను రెట్టింపు పని చేశాను.
మహ్గ అదిక్నంగ్ సవ్వింగ్ మంతంగ్.	మాదగ్గర ఎక్కువ మాంసము ఉంది.
వోన కూబ్ డగుర్ అదికార్ మంత.	అతనికి చాలా పెద్ద అధికారం ఉంది.
అదెన్ సాటి నన్న గిర్ వాంతొన్.	దాని కొరకు నేను కూడా వస్తాను.
పరిక్స లిహి కీతుర్ కాండిరంగ్ మార్కుల్క్‌న అంతర్ సెల్లె.	పరీక్ష రాసిన పిల్లల మార్కులలో అంతరము లేదు.
నర్కక్ దిస్సొ వోన్ అంద్రియల్ ఇంతెర్.	రాత్రి పూట కనిపించక పోతే రేచీకటి అంటారు.
మర్క కాయంగ్ మర్రత్ పొర్రొ మంతంగ్ అవెకున్ అంద.	మామిడి కాయలు చెట్టు పైన ఉన్నాయి వాటిని అందుకో.
అంటితరోజ్ నిమ్మె బేకె సొంజి మతి.	ఆ రోజు నీవు ఎక్కడికి వెళ్లావు.
అంగుర్క్ పండు సీంతెర్.	ద్రాక్ష పండిస్తారు.
బయ్యె బాబలిర్ పేడిన్ మూర అందూని సీంతెర్.	తల్లి దండ్రులు కూతురికి కట్నంగా ఆవునిస్తారు.
సీందిత ఆకినె తయర్ కీత అద్ అంచె.	ఈత చెట్టు ఆకులతో తయారు చేసిన చిన్న గంప.
మీవ నాటె బచ్విర్ మాయ్‌నలిర్ వెయ్లొక్ మంతంగ్ అందెజ వాట.	మీ ఊరిలో ఎంత మంది స్త్రీ మగవారు ఉన్నారు అంచన వేసి చెప్పు.
నాకున్ కామ్ కియ్వల్ వెల్లె అన్ బావ్ మంత.	నాకు పని చెయ్యడంలో చాలా అనుభవము ఉంది.
సోపతి మన్వల్ మాయ్‌నన్ పొర్రొ బస్కెన్ అన్‌మన్ ఇర్వ.	తోడుగా ఉండే వ్యక్తి మీద ఎప్పుడూ అనుమానం ఉండకూడదు.
జీవ మన్నల్ వేరి ఆనంద్నె పిస్సన.	జీవించి ఉన్నంత వరకు ఆనందంతో జీవించాలి.
హాటుంనగ వెల్లె మాంది కియ్నెకె వరొన్క్ వరొర్ అప్టెమాంతెర్.	అంగడిలో ఎక్కువ మంది ఉండడం వలన ఒకరికి ఒకరు తాకుతూ ఉంటారు.
నిమ్మె వోన్ ఆపుసీమ్.	నీవు అతన్ని ఆపు.
నిమ్మె అబ్రి సర్క ఇంజెర్ ఇన్.	నీవు అవతలికి జరుగు అని చెప్పు.
అంబడితున్ యేతగ నహ్చి బుయ్లి తెండంతెర్.	జనుమును నీటిలో తడిపి జనపనార తీస్తారు.
నావ జాగ ఇగ్గెటల్ ఇంజెర్ జాగ అమ్డి కీసెర్ మంతెర్.	నా స్థలము అని ఇక్కడి నుండి ఆక్రమించుకున్నాడు.
నేండ్- కామ్ అయ్వెకె నాడి ఆయర్.	ఈ రోజు పని కాక పోతే రేపు అవుతుంది.
వోర్ విత్నెకె అర్సికున్ హారెమాతొర్.	అతను పరుగు తీస్తున్నపుడు పడ్డాడు.
ఆకినగ టిప్క అర్రంత.	ఆకులలో చుక్క పడుతుంది.
సాకుర్ యేతగ వాట్తెకె అర్గంత.	చక్కెరను నీటిలో వేస్తే కరిగిపోతుంది.
కాండి గుసుర్క్‌సి అర్తొర్.	బాలుడు జారి పడ్డాడు.
సుక్కుం అర్త ఇంజెర్ నాకున్ వెహ్తొర్.	చుక్క పడి పోయింది అని నాకు చెప్పాడు.
సుంగు పాట వార్తొర్ అద్ పాటతున్ వెల్లె అర్త్ మంత.	సుంగు పాడిన పాటకు చాలా అర్థము ఉంది.
సేప్ పండితున్ ఇవ్విర్ అర్దొ కీసి తింతెర్.	సేపు పండును ఇద్దరు సగము చేసి తింటున్నారు.
నావంగ్ అర్దొ కేల్క్ కత్రి కీసి అహానె ఇర్తొర్.	నా వెంట్రుకలను సగము కత్తిరించి అలానే ఉంచాడు.
అర్దొ సరి- తాక్నెకెన్ అవితోన్.	సగం దారి నడవగానే అలిసి పోయాను.
వోన్క్ అని నాకున్ అర్సి వాయొ.	అతనికీ నాకూ తేడా ఉంది.
చుడుర్ కాండి కుహితగ అర్సి కిలిసెర్ మంతొర్.	చిన్న పిల్లవాడు బావిలో పడి కేకలు వేస్తున్నాడు.
నెయ్దంగ్ అరిల్క్ వెల్లె మంతంగ్.	కుక్కకు రొమ్ములు ఎక్కువగా ఉన్నాయి.
వెయ్లొక్ నగ అరిల్ బొయిండంగ్ మందంతంగ్.	స్త్రీలకు చనులకు ముచ్చికలుంటాయి.
రుక్మిని బయ్యెన్ అరిసొత్త.	రుక్మిణి అమ్మకు సహాయం చేసింది.
మర్క పండితున్ మర్రతల్ అరుసిమ్.	మామిడి పండును చెట్టునుండి పడగొట్టు.
అలగ్ మంజి సాడ కరితొర్.	వేరుగా ఉండి చదువుకున్నాడు.
మీన్కు సొత్తెకె అల్లె మీన్ పియ ఇంతెర్.	చేపల వేటకు వెలితే చేప పట్టుకో అంటారు.
రాజు జీవత్ సాటి రోజి సక్రె యొగ కియ్వల్ అల్వట్ ఆతొర్.	రాజు ఆరోగ్యం కోసం రోజు పొద్దున యోగ చెయ్యడానికి అలవాటు పడ్డాడు.
మర్మిన్ నేటి చొకొట్ దిసన్ సాటి అల్స్ పుల్స్ తయర్ ఆంతెర్.	పెళ్లిలో బాగా కనిపించాలని చక్కగా తయారు అవుతారు.
నావ సేలడ్ మల్లె పుంగక్ అల్సెర్ మంత.	నా చెల్లెమ్మ మల్లె పువ్వులు అల్లుతుంది.
వోన్ పోలిస్ అపిసర్ ఆయ్వల్ వోన అవకాస్ వాత.	అతను పోలీస్ అధికారి అయ్యే అవకాశం వచ్చింది.
అవ్ బోనంగ్ పుస్తక్ ఆందుంగ్.	అవి ఎవరి పుస్తకాలు.
వేన సోఙ్ వెన్క్ అవ్రెమాయొ.	ఇతను కోపోద్వేగాన్నిఆపుకోలేడు.
మర్మిన అయిన జావ కియ్లె డప్క్ పాసెర్ అవ్వల్ పేన్దగ దాంతెర్.	పెండ్లి పూజ చేయడానికి పోచమ్మ దేవత దగ్గరికి బాజా భజంత్రీలతో వెళతారు.
హాటుం సొన్నెకె తాక్సి తాక్సి అవియంతెర్.	అంగడికి వెళ్లినప్పుడు నడిచి నడిచి అలిసి పోతారు.
ఇద్ నెయ్ అవెక్నగ మీరెమాత.	ఈ కుక్క వాటిలో కలిసి పోయింది.
నావ కెయ్‌ద గడి బయ్ అసల్ మంత.	నా గడియారము చాలా అందముగా ఉంది.
పొప్పయ్ పండితున్ సెట్టెడె అస్క్ సెర్ మంతొర్.	బొప్పాయి పండును కొడవలి తో కోస్తున్నాడు.
అస్కె మావొర్ తాదొ వెహ్తొర్.	అప్పుడు మా తాతయ్య చెప్పాడు.
అస్కెడంగ్ వేసుడింగ్ గిర్ ఇన్కె వేరి మంతంగ్.	గత కాలపు కథలు ఇప్పటి వరకు కూడ ఉన్నాయి.
మహ్గ అస్కెడ తమ్మ ముద్ద మంత.	మాదగ్గర పూర్వపు ఇత్తడి ఉంగరం ఉంది.
నిమ్మె వాంతి ఇంజెర్ అస్కెడల్ సూడంతొన్.	నీవు వస్తావని అప్పటి నుండి చూస్తున్నాను.
అస్తుర్ కయ్దె మేంది వాటంతంగ్.	అర చేతిలో గోరింటాకు వేస్తున్నారు.
పోడ్ద్ అస్లి వేడ్చి సీంత.	సూర్యుడు మంచి వెలుతురును ఇస్తున్నాడు.
అద్ బాన్ కామ్ కీంత అహన్ కామ్ కీమ్.	ఆమె ఎలా పని చేస్తుందో అలా పనిచెయ్యాలి.
చుట్టల్ బందుక్, మర్మిన్‌గ నొవ్రినేర్, నొవ్రనేర్ బెయె బాబన్ కప్డింగ్ అహేర్ కీంతెర్.	చుట్టాలు పెండ్లిలో వధూ వరుల తల్లి దండ్రులకు బట్టలు కట్నంగా పెడతారు.
ఆకడి మహ్న ఆక్డ తెండంతెర్.	జూలై మాసంలో ఆక్డ తీస్తారు.
ఆకడి మహ్న ఆక్డ తెండంతెర్.	జూలై మాసంలో ఆక్డ తీస్తారు.
వావ్టె జాగ్లి మత్తెకె ఆక్టి కీసి మందంతెర్.	చేనులో కావలి ఉంటే చలిమంట చేసి ఉంటారు.
నాకున్ బస్ నగ ఆక్రి సీట్ పుట్త.	నాకు బస్సులో చివరి సీటు దొరికింది.
అక్రిత సేలడున్ మర్మింగ్ కీంతొమ్.	చివరి చెల్లెలి పెళ్లి చేస్తున్నాము.
ఉంది ఆకార్ తె పండింగ్ కొయ్సి ఇర్తొర్.	ఒక ఆకారంలో పండును కోసి ఉంచాడు.
చుడుర్ డువడున్ ఆకి బీబట్ ఇంజెర్ ఇంతెర్.	చిరుత పులిని ఆకు బీబట్ అని అంటారు.
మావ కాసుడ ఇర్స్ ఆకుడ్ మంత.	మా ఎడ్ల బండి ఇరుసు చిన్నదిగా ఉన్నది.
కేస్కుడ్ వెల్లె ఆకుడ్ మంత.	నిచ్చెన చాలా పొట్టిగా ఉంది.
ఆగమె నాకున్ కేయ్తొర్.	నన్ను ఊరికే పిలిచాడు.
ఇగ్గెటల్ నావ జాగ ఇంజెర్ అగుటికీతొర్.	ఇక్కడి నుండి నా చోటు అని ఆక్రమించాడు.
రోన్ వాటన్ సాటి వెల్లె జాగ ఆగుటికీతొర్.	ఇల్లు కట్టడానికి ఎక్కువ చోటు సొంతం చేసుకున్నాడు.
నీకున్ నన్న ఆగె సీతొన్.	నీకు నేను ఆఙ్ఞ ఇచ్చాను.
యేర్ తుంగ్వల్ కమ్రతున్ అఙ్ దుడి ఇంతెర్.	స్నానము చేసే గదిని స్నానపు గది అంటారు.
కామ్ కియ్లెన్ కయ్దిన్ అయొర్ వోన్ అఙ్ రాయ్సల్ ఇంతెర్.	పని చెయ్యడానికి చాతకాని వాన్ని సోమరి పోతు అంటారు.
యేర్ తుంగ్వడున్ ఆఙుడ్ అస్టన్ ఇంతెర్.	పవిత్ర స్నానం ఆచరించడాన్ని ఆఙుడ్అస్టన్ అంటారు.
కామ్ కియ్లె ఆయో వోన్ ఆఙున్ కస్టల్ ఇంతెర్.	పని చేతకాని వాన్ని సోమరి పోతు అంటారు.
నర్కక్ దిస్సొ వోన్ అచంద్రల్ ఇంతెర్.	రాత్రి కళ్లు కనిపించని వారిని రేచీకటి గలవాడు అంటారు.
నీవ ఆచర్ నిమ్మె మరుంగ్మ.	నీ ఆచారాలు నీవు మరువకు.
మావ జాతితగ ఆచర్ విచర్ మందంత.	మా జాతిలో ఆచారాలు ఉంటాయి.
చొకొట్నంగ్ మర్క పండినున్ ఆచన.	మంచి మామిడి పండ్లను ఎంచుకోవాలి.
మావ నాటె సర్పంచున్ మరట్ అచంతొమ్.	మా ఊరి సర్పంచ్‌ని మేము ఎన్నుకుంటాము.
ఇద్ మావ జాతి ఆచారం ఆంద్.	ఇది మా జాతి పద్ధతి.
వెయ్లొక్ కెల్కున్ ఆటి పాంతంగ్.	స్త్రీలు వెంట్రుకలను ముడి వేస్తారు.
నోడెత్ కస్రకియ్లె ఆటిపాంతెర్.	త్రాడును పగ్గం చేయుటకు అల్లుతారు.
గొహ్క్‌నగ యేర్ సుటి కీయ్నెకె కుహిత యేర్ ఆటెమాత.	గోదుమలకు నీరు వదిలేటప్పుడు బావి నీరు ఎండిపోయింది.
రోతగ, బుడ్డింగ్-ముడ్డింగ్ పొర్రొ ఇర్లె ఆటేర కీంతెర్.	ఇంటి సామాను పైన ఉంచుటకు ఇంట్లో అటక తయారుచేస్తారు.
మావ రోత ఆటేర తగ తరస్ వాసి మంత.	మా ఇంటి పై కప్పులో పాము వచ్చి ఉంది.
వోర్ వెల్లె ఆడ్ముట్ మంతొర్.	అతను చాలా చిచ్చర పిడుగు లాంటివాడు.
మర్మింగ్ ఆతుర్ ఊర్కున్ ఆడ్ మాడ్సొ ఇంతెర్.	పెళ్లి చేసుకున్న వాళ్లని బార్యా భర్తలు అంటారు.
రోన్ వాసంగ్ హిందల్ హందల్ పాయన్‌సాటి ఆడె కట్టె వాటంతెర్.	ఇంటి వాసాలు ఇటు అటు కొట్టుటకు ఆడె కట్టె వెనుగర్ర తయారు చేస్తారు.
ఆడెందల్ కరబ్ కామ్ కీంతొర్.	తెలివి హీనుడు చెడ్డ పనులు చేస్తాడు.
నిన్నె గాటొ తిన్వ సొంజి బయ్ కటిన్ ఆత.	నిన్న నేను అన్నము తినక పోవడం వలన బాగా కష్టం అయింది.
ఆత కామున్ పజ్జె మల్సి సూడ్వ.	జరిగిన పనిని తిరిగి చూడకు.
నన్న గిర్ ఆతంగ్ పండింగ్ తింతొన్ ఇంజెర్ కాండి ఆడంతొర్.	నేను కూడా అలాంటి పండ్లు తింటాను అని పిల్లవాడు ఏడుస్తున్నాడు.
మిహ్గ మంత అతల్ మహ్గగిర్ మంత.	మీ దగ్గర ఉన్నట్లు మా దగ్గర కూడా ఉంది.
సాతొర్ వోన ఆత్మ మేందొల్ సుట్టికీసి సొడియంత.	చనిపోయిన వాని ఆత్మ దేహం వదిలి వెళుతుంది.
పేన్ ఉంది ఆత్మత రూప్నె మంతొర్.	దేవుడు ఆత్మ రూపంలో ఉన్నాడు.
ఆత్మ వడి వడిదె వాసెర్ మంత.	గాలిలో ఆత్మ వస్తున్నది.
నాకున్ పొరొల్ దొసన్ సాటి ఆతి మామల్ వాతెర్.	నాకు పేరు పెట్టడానికి అత్త మామలు వచ్చారు.
రాజు గిర్ మనోజున్ దాత్ అతోరె మంతొర్.	రాజు కూడ మనోజ్ అటువంటివాడు ఉన్నాడు.
వోన్ చహ ఉన్వల్ ఆదత్ ఆత.	అతనికి చాయ తాగడం అలవాటు అయింది.
పోసటి కాండిర్ బతయ్ ఆదర్ సెల్వక్ మందంతెర్.	అనద పిల్లలు ఏ సహాయం లేకుండా ఉంటారు.
ఆదిలాబాద్నగ ఆదివాసి గోండి మంతెర్.	ఆదిలాబాదులో ఆదివాసి గోండులున్నారు.
మావ రొహ్క్ నగ ఆన్వల్ లిహి కీతెర్.	మా ఇండ్లలో ఆనవాలు రాసుకున్నారు.
మర్మింగ్ అనెకె నన్న ఆంగ్డె కెర్తొన్.	పెళ్లి అయేటప్పుడు చొక్కా వేసుకున్నాను.
రోజి ఆంగ్డెంగ్ కెర్సి మందన.	రోజు చొక్కా వేసుకోని ఉండాలి.
మర్క పండితున్ వాట్తెకె ఆంజన.	మామిడి పండును వేస్తాను అందుకో.
బెయె బాబల్ మియాడున్ హెర్రె, మూర సీతెకె తాన్ ఆందున్ ఇంతెర్.	తండ్రి కూతురుకిచ్చే మేకలను, ఆవులను కట్నము అంటారు.
చుడ్డుక్ కాండిర్కున్ కర్స్‌వల్ బొమ్మ తత్తెకె ఆనంద్నె-ఆనంద్ ఆంతెర్.	చిన్నపిల్లలకు ఆటలు ఆడేందుకు బొమ్మలు తెస్తే చాలా ఆనంద పాడతారు.
నీతోడొ కామ్ అనల్ మత్తెకెన్ వెహ.	ఈ రోజు పని చేయగలిగేటట్టు ఉంటే చెప్పు.
నిమ్మె డగుర్ ఆనల్ సూడన.	నీవు పెద్దగయ్యేదాకా చూడాలి.
నన్న గిర్ వాంతొన్ నిమ్మె జర్రసి ఆప.	నేను కూడా వస్తాను కొద్ది సేపు ఆగు.
రాజు బయ్ ఆపతితె మంతొర్.	రాజు చాలా కష్టంలో ఉన్నాడు.
బేకెన్ సొన్నెకె బస్ అపుసి ఉద్దన.	ఎక్కడికైనా వెళ్లేటప్పుడు బస్సు ఆపి కూర్చోవాలి.
ఆపే పోటొ రెహ.	దానితో ఫోటోతియ్యి.
నిమ్మె పోలిసున్ మో డి తయర్ ఆమ్.	నీవు పోలీస్ లాగా తయారవు.
మూర అంబ ఇంజెర్ అడంత.	ఆవు అంబా అని అరుస్తుంది.
ఇద్ మర్క పండి అముట్ మంత.	ఈ మామిడి పండు పుల్లగా ఉంది.
నీకున్ ఆయపరొ అదెన్ కియ్మ.	నీకు వీలు కానిది చెయ్యొద్దు.
నావ పెట్టినించి మంత గాటొ ఆయర్.	నా కడుపు నిండి ఉంది అన్నము చాలు.
ఆయ్త్‌వార్త్ నేటి సాడ సుట్టి మందంత.	ఆదివారము బడికి సెలవు ఉంటుంది.
నావంగ్ మర్మింగ్ ఆయ్మకి.	నాకు పెండ్లి కాలేదు.
నన్న వెహ్తంగ్ గొస్టింగ్ కరల్ ఆయ్వక్నె మందవచ్చొ.	నేను చెప్పి మాటలు నిజము కాకపోవచ్చు.
మావ నాటె వరొర్ వయ్‌దు ఆయ్వల్ మంతొర్.	మా ఊరిలో వైద్యుడుగా కాబోతున్నాడు.
నీతోడొ నాకున్ వడ్క్‌వల్ ఆయొ.	నీ తో నేను మాట్లాడ లేను.
వావ్టె సేర్ పానెకె దుపరి సేర్ సుటి కీసి ఆరమ్ యేతంతెర్.	చేనులో అరక కొట్టేటప్పడు పగటి పూట అరక వదిలి సేద తీసుకుంటారు.
చుట్ట ఆర్తెకె పోయ వాయొ.	చుట్ట ఆరినప్పుడు పొగ రాదు.
యేర్ తుంగ్సి సవ్రెమానెకె ఆర్స సూడ్సెర్ సవ్రెమాంతెర్.	స్నానం చేసి నప్పుడు అద్దం చూసుకుంటూ తయారు అవుతారు.
నన్న గాటొ అట్త అద్ గాటొ ఆర్త.	నేను వండిన అన్నం చల్లారింది.
కాస్త జావ ఆరుసీసి తిందన.	వేడి అంబలిని చల్లార్చి తాగాలి.
సేర్ పానెకె ఆరూ బడ్డె పియ్సి సేర్ పాంతెర్.	అరక కొట్టేటప్పుడు ముల్లు కర్ర పట్టుకుంటారు.
కాసుడ ఆరే కుట్ట మందంత.	ఎడ్ల బండికి కొయ్య ఉంటుంది.
ఆలి మర్రతగ పోనక్ ఉత్తంగ్.	రావి చెట్టుపై పావురాలు వాలినాయి.
మర్మినగ డోల్క్ పానెకె డోల్క్‌న ఆవజ్ వాంత.	పెళ్ళిలో డోలు వాయించేటప్పుడు చప్పుడు వస్తుంది.
రోత అవరతగ వెలుమ్ కీమ్.	ఇంటి ఆవరణలో కంచెవెయ్యి.
కాపుస్ గట్టితున్ ఆవ్రి కీమ్.	పత్తి ముళ్ళెను బిగించి కట్టు.
కట్టె వొజ్జెతున్ వేలినె ఆవ్రి కీసి దొహంతెర్.	కట్టెల మోపును తీగలతో బిగించి కడతారు.
నన్న లవ్డితున్ ఆవ్ సేర్ మంతొన్.	నేను వాగును దాటుతున్నాను.
రూకనె గంగ అవంతెర్.	పడవలతో నది దాటుతారు.
నాకున్ గిర్ వెల్లె సినూర్ ఇంజెర్ ఆస మంత.	నాకు కూడా ఎక్కువ ఇస్తాడు అని ఆశతో ఉన్నాను.
దాదల్ నాకున్ కేరె పండింగ్ తరనుర్ ఇంజెర్ ఆస కియ్మ.	అన్నయ్య నాకు అరటి పండ్లు తెస్తాడు అని ఆశపడకు.
అస్తిత్ పొర్రొ నాకున్ ఆస సెల్లె.	అస్తి పైన నాకు ఆశ లేదు.
నన్ పోలిస్ అపిసర్ ఆయన ఇంజెర్ ఆస కీసెర్ మంతొన్.	నేను పోలీస్ అధికారి కావాలని కోరుకుంటున్నాను.
కాసుడగ ఆస్కుడ్ మందంత.	ఎడ్ల బండికి ఇరుసు ఉంటుంది.
తాదొన ఆస్తి బోన్కె సియ్వ.	తాతయ్య అస్తి ఎవ్వరికీ ఇవ్వకూడదు.
బస్కెగిర్ ఆస్తి కీసికున్ గాటొ తిన్వ.	ఎప్పుడైనా అన్నము తినేటప్పుడు అస్తి చెయ్యకు.
బాబన్ పొర్రొ ఆస్ర ఆసి మన్వల్.	తండ్రి పైన ఆధారపడి ఉండడం.
మా నాటున్ కరుమ్ ఆస్రమ్ సాడ మంత.	మా ఊరికి దగ్గరలో ఆశ్రమ పాఠశాల ఉంది.
నావ కామ్ ఆసివీడ్త.	నా పని పూర్తి అయ్యింది.
ఆసి సొత్త అద్ మహ్న చొకొట్ సెల్లె.	జరిగి పోయిన నెల మంచిగా లేదు.
పేన్ద ఆసిర్వాద్ యేత్వల్ బయ్ చొకొట్.	దేవుని ఆశీర్వాదాలు తీసుకోవడం మంచిది.
మావ బాయినంగ్ మర్మింగ్ బస్కెయొ ఆసి సొడితంగ్.	మా అక్కయ్య పెళ్లి ఎప్పుడో జరిగిపోయింది.
నావ కామ్ ఆయ్వల్ మంత.	నా పని కావలసి ఉంది.
మిరట్ వెహ్వలిక్ గొస్టింగ్ ఆంతంగ్.	మీరు చెప్పే మాటలు చాలు.
ఇగ్గె యెవ్నల్ నిమ్మె వర బాటొ.	ఇక్కడి వరకు నీవు రా బావా.
ఇగ్గె అగ్గ బతంగ్ మంతంగ్ సూడ.	ఇక్కడ అక్కడ ఏమి ఉన్నాయో చూడు.
ఇగ్గెటల్ తె అగ్గ వేరి విచ్చెర్ సొన్.	ఇక్కడి నుండి అక్కడి వరకు పరిగెత్తుతూ పో.
ఇగ్గెనె తయ్ల మరుంగ్తొన్.	ఇక్కడ సంచి మరచి పోయాను.
జగన్ నిమ్మె ఇగ్గెవర.	జగన్! నీవు ఇటు రా.
ఇఙె నిమ్మె బేకె బహన్ వాతి.	ఇప్పుడు నీవు ఎక్కడ ఎటు వచ్చినావు.
ఇఙె మావొర్ బాబల్ వాంతొర్.	ఇప్పుడు మా నాన్న వస్తారు.
నావొర్ కాండి డగుర్ అపిసర్ ఆయన ఇంజెర్ నావ ఇచ్చ మంత.	నా కొడుకు పెద్ద అధికారి కావాలని నా అభిప్రాయం.
మావ హెర్మి ఇచ్చుక్ ఇచ్చుక్ పాల్ సీంత.	మా బర్రె కొద్దికొద్దిగా పాలు ఇస్తుంది.
ఇచ్చుక్ ఇచ్చుక్ గాటొ సీతెకె పెట్టినిందొ.	కొద్దికొద్దిగా అన్నం వడ్డిస్తే కడుపు నిండదు.
మాకున్ ఇద్ సాల్ ఇచ్చుంగ్ జొన్నంగ్ పండ్తంగ్.	మాకు ఈ సంవత్సరము కొన్ని జొన్నలు పండాయి.
ఇచ్చుస ఉంది వేసుడి వెహ.	కొద్దిగా ఒక కత చెప్పుము.
జేవున్ ఉత్తెకె కాండిర్ ఇచ్చుసి గాటొ సీమ్ ఇంతెర్.	విందు ఆరగించేటప్పుడు చిన్నపిల్లలు మరి కొంచెం అన్నము పెట్టమని అంటారు.
వోర్ కాండి ఇచ్చొర్ బచ్చొర్ ఉయ్‌సర్ మంతొర్.	అ పిల్లవాడు ఇంత ఎంత తెలివిగా ఉన్నాడు.
మిరట్ ఇచ్విర్ కాండిర్ ఉందియ్ నాట్నుర్ ఆందిట్ కీ-.	మీరందరు పిల్లలు ఒకే ఊరి వారా?
మా నాట్నొర్ పాట్లన్ బయ్ డగుర్ ఇజ్జత్ మంత.	మా ఊరి పటేల్‌కు చాలా గౌరవం ఉంది.
సమ్దిర్ తోడొ చొకొట్ మంజి నీవ ఇజ్జత్ ఇర్ర.	అందరితో కలిసి ఉండి నీ పరువు కాపాడుకో.
తోడిత ఇట్కె కీంతెర్.	మట్టితో ఇటుక తయారు చేస్తారు.
రొహ్క్, గోడంగ్, ఉండె వెల్లె రంక్‌నంగ్ దొహన్‌సాటి తోడిత ఇట్కె కీంతెర్.	ఇండ్ల గోడలు కట్టుటకు మట్టితో ఇటుకలను తయారు చేస్తారు.
కాండిర్ ఇట్వల్ కర్సంతెర్.	పిల్లలు ముట్టుకునే ఆట ఆడుకుంటారు.
కరంటున్ బస్కెన్ ఇట్వ.	కరెంటునెప్పుడూ ముట్టొద్దు.
