Gondi_Sentence	Telugu_Sentence
సర్వస్ బాడల్ గుడ్డి- గుడ్డన్ కావ్డిన్‌గ ఉపుసీసి కాశితే వోతోర్	శ్రవణ కుమారుడు తన తల్లి దండ్రులను కావాడిలో కాశీకి తెసుకెళ్ళనాడు
కేడతల్ కెటింగ్ తర్లె కాసూర్ కాం సీంత	అడవి నుండి కట్టెలు తీసుకరావడానికి ఎడ్లబండి పనికిస్తుంది
గంగాతే కాసోంగ్ యేతగ డాట్ మందంతంగ్	గంగా యందు నీటిలో తాంబేలుఎక్కువగ ఉంటాయి
వేర్ గొమ్మేరనగ దహ్నీ కాసుసంతొర్	పిడికెల పైన అగ్గిలో ఇనుము వేడిచేస్తారు
కేడంగ్, గూడెన్‌గా పిర్ రెయ్‌నెకే బాజి కిచ్చి తింతేర్	గూడెలలో వర్ష కాలం వచ్చిన తరువాత ఆకు కూరలు తింటారు
సొద్దెడ్‌గా తడ్మి నిరుసన్‌సాటి కిస్ డబ్బీ పాంతేర్	పొయ్యిలో అగ్గి చేయిటకు అగ్గి పెట్టె తో వెలిగిస్తారు
ఉంది జాగ సమ్దిర్ చుడూక్ కాండిర్ మీరే మత్తెకే వొరోన్ ఒరోన్ కిస్కంతేర్	ఒక చోట పిల్లలు గుమిగూడితే ఒకరి నోకరు గిచ్చుకొంటారు
పేన్కున్ పూజ కియన్‌సాటి కుక్కూ గుల్వల్ హాటుమ్న తరంతేర్	దేవుళ్ళ పూజ కొరకు కుంకుమ గులాలు అంగడి నుండి తెస్తారు
పెర్సాంగ్ పేన్కున్ అటుం కుటుంబాలీర్ సమ్దిర్ మీరే మంతేర్	పెద్ద దేవుని దగ్గర చుట్టాలు, బంధువులు అందరు కలుస్తారు
పిర్ వాతెకే కుడెడున్ ఊస వాంత	వర్షం వస్తే వాగులు పొంగుతాయి
కుమ్మల్ బుడ్డి కీసేర్ మంతోర్	కుమ్మరి వాడు కుండ తయారు చేస్తున్నాడు
పిత్రెన్గా (కారుంతగా) హెర్రే కొయైకే కుర్కీ అలదీ ఇరంతేర్	కార్మకాండము చేసె రోజున మేక కాలును వేరుగ ఉంచుతారు
చుడుర సెట్టెడుస్ కుర్ప ఇంతేర్	చిన్నకొడవలిని కుర్భ అంటారు
తల్లద్గ సోక్వల్ నియ్ మార్తెకే డబ్బతున్ కూచంతేర్	తల నూనే అయిపోతే నూనే డబ్బను చూస్తారు
జొన్న, తూరి కూటార్ కొందన్, మూరన్, యెద్ది-గాలుం వాటంతేర్	జొన్న చొప్ప కంది చొప్ప ఎడ్లకు ఎండ కాలంలో మేత పెట్టుతారు
కాల్ ఆయి, కెయ్ ఆయి సెల్వేకే కూటాల్ ఇంతేర్	కాళ్ళు చేతులు లేని వారిని కుంటి వారంటారు
వీర్ కూడిన్ సాటి పాక్డి మర్రతంగ్ ఆకింగ్ కొయ్సేర్ మంతేర్	వీరు ఇస్తారాకుల కొరకు రాగి చెట్టు ఆకులు తెంపుతున్నారు
చుడూక్ కాండిర్‌కున్ కవుసన్ సాటి కూత్లీ- కీంతేర్	చిన్న పిల్లలను నవ్వించుటకు గులగుల(కితకితలు) పెట్టుతారు
చుడూక్ కాండిర్క్ బస్సునగా పియ్యి ఉద్తెకే కూర్కంతేర్	చిన్న పిల్లలను బస్సులో పట్టి కూర్చుంటే నిద్రపోతారు
తేరియా కాయ బయ్ కెయంత	బుడిమి కాయ బాగా చేదుగ ఉంటుంది
కాండిర్- పేకింగ్ కేంజంతేర్	బాలురు, బాలికలు వింటున్నారు
కొండ బుడ్కూంక్ గంగాతే మందంతంగ్	శంకులు నదులలో, సముద్రంలో ఉంటాయి
బాయి బాలంతి అన్నెకే రోతగ ఉంది కాక్ కొటూడీ కీంతేర్	శిశు జన్మ సమయంలో ఆడవారికి ప్రత్యేక స్థలము ఏర్పాటు చేస్తారు
హెర్రేంగ్ కోండి కియన్‌సాటి కొటూడీ(కొట్కా) కీంతేర్	మేకలను ఉంచడానికి కొట్టము తయారు చేస్తారు
మూరంగ్, హెర్రేంగ్, హెర్మింగ్ కోండి కియన్‌సాటి కొట్కా కీంతేర్	జంతువులను, ఉంచడానికి కొట్టము చేస్తారు
కాలదగ సాప్ గండ్‌తెకే సుయ్‌ద కొడ్డితే టెండంతేర్	కాలకు ముల్లు గ్రుచ్చినచో సూదితో తీస్తారు
మహ్కా పండి తినేకే కొద్దంగ్ కిచిర్- కిచిర్ ఇంతంగ్	మారేడు పండు తినేటప్పుడు పండ్లకు తాకుయి
వాప్టి తిపున్తంగ్ కొయ్యానె సరెంగ్ వాటంతేర్	చేనులో మూడు కాళ్ళ (మోగడలో) గీతాలు వేస్తారు
వేర్ దాడీ కొరీసేర్ మంతోర్	ఈయన గడ్డం తీస్తున్నాడు
కెవ్విత్ రొప్పో కొరే-కల్ మందంత	చెవిలో జీబిలి ఉంటుంది
దహితున్ కస్లాద్గా కొరొప్ కీంతేర్	పెరుగును ఒక పాత్రలో చల్ల చేస్తారు
ఖాతి మర్సక్ కొలుసంతోర్	కమ్మరి గొడ్డళ్లు పదును చేస్తారు
మావ దేశున్ నాలుంగ్ కోస్క్ మంతంగ్: ఖాలాన్, తెల్జాడ్, సిడాయీంగ్, ఫరాయీంగ్	మాన దేశనికి నాలుగు దిక్కులున్నాయి, తూర్పు, పడమర, ఉత్తరం, దక్షిణ
మర్మి బొవ్లద్గా నాలుంగ్ కోపంగ్ ఇరంతేర్	పెండ్లి పందిరిలో నాలుగు చిన్న కుండలు ఉంచుతారు
రోత్ రొప్పో ఉంది మూలత్ పేన్- కోమ్టూ ఇంతేర్	ఇంటిలో ఒక మూల దేవుడు స్థలం ఉంటుంది
తాన్ కోంద- వాడా ఇంతేర్	ఎడ్ల అంగడి ఉంటుంది
ఆకాడిత్ నేటి కోడల్ పేన్ద పూజ కీంతేర్	ఆకాడి పండుగ రోజు కోడల్ అనే దేవుని పూజ చేస్తారు
లవ్‌డినే నర్కక్ ఆడే గదినంగ్ కేక్డైగ్ తిన్నే - తాన్ కోయ్‌లల్ ఇంతేర్	వాగులో రాత్రి పూట ఎండ్రికాయాలు తినె జంతువును నక్క అంటారు
చచ్చోయ్ కోలాంగ్ పాసేర్ డండారి యేందంతేర్	చచ్చోయ్ కొలాటముతో దండారి నృత్యం చేస్తారు
జొన్న, వంజింగ్, తూరింగ్ తెడన్‌సాటి వాట్టె ఖడా కీంతేర్	జొన్నలు, వరి, కంది, తీయుటకు చేనులో కల్లం చేస్తారు
మాతరిక్ కాల్క్నగ కెయ్కనగ ఖడేంగ్ కెరంతంగ్	ముసలివారి చేతులకు కాళ్ళకు కడియాలు ఉంటాయి
వాప్లై కాపుస్ ఉర్సన్ సాటి ఖాత్ వాటంతేర్	చేనులో పత్తి పంట వెయుటకు ఎరువు వేస్తారు
కీక్రి నేకుసన్ సాటి ఖూజా మందంత	కీక్రి అనే సంగీత సాధనము మ్రోగించుటకు ఖుజా ఉంటుంది
ఖేతి- కీయ్యల్ మడిన్గ కాం కీసేర్ మంతోర్	వ్యవసాయము చేసేవాడు మడిళ్ళలో పనిచేస్తున్నా డు
ఖాత్ రీక్లే ఖోరా కాం సీంత	ఎరువును(ఆవు పేడ) విసురుటకు పారా ఉపయోగిస్తారు
ఖోరతే నాలీన చిక్లా తెడంతేర్	నాలీలు శుభ్రపరుచుటకు పారా ఉపయోగిస్తారు
గందాల్ నహ్కనంగ్ కొర్కున్ పియ్సి వోంత	గ్రద్ద ఊరిలోని కొళ్ళ పిల్లలను ఎత్తుకొని పోతుంది
బాయిక్, దాదలిర్ కుహిత, బొరింగ్న గర్రాసే యేర్ తరంతేర్	స్త్రీలు, పురుషులు బావి, బోరు నీళ్ళు బిందెలతో తెస్తారు
హోటల్కనగా(వాప్టె) దుస్రొనగ కాం కియ్యలీర్క్ గడ్యాల్ ఇంతేర్	హోటలలో, చేను ఇతరులు దగ్గర పని చేస్తున్న వారిని జీతగాళ్లు అంటారు
నహ్నే మాత్రలీర్ గాంజా ఉన్నెకే సావ్‌నె ఊతంతేర్	ఊర్లలో ముసలివారు గంజాయి త్రాగెటప్పుడు పొగ పీల్చుకుంటారు
డెమ్సగ్గా గాగ్రంగ్ కాల్కనగ దొహ్చి యేందంతేర్	డెమ్సా నృత్యంలో కాలకి గజ్జెలు కట్టి నృత్యం చేస్తారు
ఇద్ గాజ్లింగ్ యేచ్చెర్ మంత	ఈమే గాజులు కొనుచున్నాది
జొన్న తూరి కూటార్ నిహ్చి గాదేద్గా ఇరంతేర్	జొన్న, కందులు కూటార్ నింపి గుమ్మిలో ఉంచుతారు
కడ్దగా గోయల్ దావ్రల్- దావ్రల్ గార్ మంత	కళ్ళలో గుండ్రంగా తెల్లటి కనుపాప ఉంటుంది
గిర్వా గూనాల్ రెహంతంగ్	వేడి వంట పాత్రను బట్టతో పట్టి దించుతారు
కురంగ్ కరుసన్ సాటి గిర్రా కీంతేర్	కంకలను నేర్పుట కొరకు గిర్ర అనే దానిని తయారు చేస్తారు
భోగిత్ నేటి గుసాడ్క ఆంతేర్	భోగి రోజున గుస్సాడి వేశం వేస్తారు
గుస్రాల్ కేడతె మందంత, హెర్రేంగ్ మక్సి తింతా	తోడేలు అడవిలో ఉంటుంది మేకలను వేటాడి తింటుంది
పూన రోతగ గురెంగ్ దొసంతేర్	క్రొత్త ఇంటి ముందు ప్రవహరి గోడ కట్టుతారు
పేకింగ్ గెగ్డింగ్ కెరంతంగ్	అమ్మాయిలు గౌను తొడుగుతారు
పాట్లన్‌గ మీరే మంట్ సమ్దిర్ ఉంది గొష్టి (గొహ్టి) వడ్కవల్ మంత	పటేల్ దగ్గర అందరు కలవండి ఒక విషయము మాట్లాడాలి
వావ్టె యేర్ ఇంజన్తే గొట్టానె సుట్కింతేర్	చేనులో నీటిని పైపుల ద్వార వధులుతారు
పోరత్ నేటి కోందనంగ్ గోటినగ ఘుంగుక్ దొహంతేర్	పొలాల పండుగ రోజున ఎడ్ల మెడలలో గజ్జలు కట్టుతారు
రాజాల్ తవ్వ కోడ్డత్ బయ్ చమ్కి కీతోర్	రాజు తన గుఱ్ఱమును చాల శుభ్రం చేసాడు
చవ్వెర సెజాంగ్ కుస్త్రి అట్సి తింతేర్	గోరు చిక్కుడు కాయలను కూరచేసి తింటారు
చుట్టా- ఆకిట్గా తమ్ముక్ నిహ్చి ఉంటేర్	చుట్ట ఆకులలో తంబాకు నింపి త్రాగుతారు
రొహ్కీ రొహ్కీ సెంగ్వన్ చుబూక్ చుబూక్ ఇంతేర్	ఇంటింటా తిరుగేవాని, అడ్డా తిరుగుడు అంటారు
పేన్కున్ యేర్ మిహ్లా వోనెకే చెక్డంగ్, కాసూక్ పుహ్చి దాంతేర్	దేవుళ్ళను స్నానానికి ఎడ్లు బండ్లు గట్టి తీసుకెళ్ళుతారు
సెయ్‌కల్ చిక్లా ఆతెకే జంగ్-పియంత	సైకిల్ బురద అయితే తుప్పు పటుతుంది
టొప్లీనె కేడతల్ హిరుక్ తచ్చేర్ మంతంగ్	గుల్లలలో అడవి నుండి ఇప్పపూలు తెస్తున్నారు
కాపుస్నగా జాడి ఆతెకే డవ్రా పాంతేర్	పత్తిలో గడ్డి మొలచినచో గుంటుకు కొట్టుతారు
డండారి పియ్సి డియూర్ దుసొ నాటే యేండ్లె దాంతేర్	దండారితో పడుచులు వేరే ఊరికి వెళ్ళుచున్నారు
మర్మిన బొప్ ల డియంగ్ వాటంతంగ్	పెండ్లి పందిరి, గద్దెలు ఆడవారు వేస్తారు
పేన్దగ తల్ల దొహ్చి డుమ్మేరా డోరియల్ కాల్ కెరోల్ వోన్ డుమాల్ ఇంతేర్	దేవుని దగ్గర దండం పెట్టెటప్పుడు తలపాగ కట్టి మొక్కని వారిని బోడి తల అంటారు
నన్న డెహ్క్సేర్ మంతోన్	నేను ఎగురు చున్నాను
లగ్డిన్ నేటి నర్క డెమ్సు యేందంతేర్	పెళ్ళి రోజు రాత్రి పూట డెమ్సు నృత్యము చేస్తారు
మయనల్ యెడ్కితే జరసి తగ్తోర్	మనిషి జ్వరము వలన కొద్దిగ తగ్గినాడు
వోర్ తమ్ముక్ ఆకింగ్ వొమ్సెర్ మంతోర్	ఆయన పొగకూ ఆకులు అమ్ముతున్నాడు
చుడూర్ కాండిన్ కెయ్ పియ్యి తాకుసంతేర్	చిన్న పిల్లలను చేతులు పట్టి నడిపిస్తారు
డంఢారిద్గా వెరత్లీరింగ్ కాల్క్ నొరన్‌సాటి యేర్ తయార్ కీంతేర్	దండారిలో చుట్టాలకు కాళ్ళు కడుగుటకు నీళ్ళు ఉంచుతారు
గల్తి ఆతెకే మాప్ కీం ఇంజేర్ తాడ్వా పియంతేర్	తప్ప అయితే క్షమాపన అడుగుతు గడ్డం పట్టుతారు
బావనోర్ బాబాన్ తాదో ఇంతట్	నాన్న తండ్రిని తాతా అంటాము
కుస్రిత్ గంజ్‌నల్ సుఖుడే తావంతేర్	కూరను గంజునుండి తెడ్డుతో తీస్తారు
పేకింగ్ తిడింజ్‌కనగా నక్- పాలిస్ సోకంతంగ్	అమ్మాయిలు గోరుళకు పెంటు వేసుకుంటారు
తిపూన్‌తే జొన్న, సోయాబిన్ యెదంతేర్	మూడు కాళ్ళ వెలుగడతో జొన్న విత్తునాలు నాటుతారు
కొందనే జొన్న సెన్‌దగా బంతి తిరూసీసి జొన్నంగ్ టెండంతేర్	ఎడ్లను జొన్నచెలిలో కట్టి బంతి తింపుతారు
మర్మిన్గ తిన్వల్ తీర్-తీర్క్నా అటంతేర్	పెండ్లిలో రకరకాలు వంటకాలు చేస్తారు
తుమ్రి మర్రతంగ్ ఆకీనే బీడింగ్, చుటంగ్ కీంతేర్	తునికి ఆకులతో బీడీలు తయారు చేస్తారు
బ్రహ్మన్ (హిందు) యేర్ తుగ్సి తుల్సి మర్రత రోజీ పూజ కీంతేర్	హిందువులు స్నానం చేసి తుల్సి మొక్కను(చెట్టును) రోజు పూజిస్తారు
వేర్ వోన్ పాయన్ సాటి తెగ్తోర్	ఈయన ఆయనను కొట్టడానికి తెగించాడు
నన్న కావడ్ తెరీసేర్ మంతోన్	నేను తలుపు తీస్తున్నాను
ఉంది బాయి వొరోర్ మయ్నల్ బయ్ తెరుస్తేర్	ఒక మనిషి ఒక ఆడ ఆమె చాల కొట్లాడుకున్నారు
సడాయి మొరొల్క్ కస్- కస్ తెరంతేర్	శనగ మొక్కలను తొందర తొందరగా తీస్తారు
వీర్ సమ్దిర్ మర్రత్ పొరొ తెర్గితేర్	వీరందరు చెట్టు పై ఎక్కినారు
దురాడితా నెలేంజ్ తొహ్తా కాండిర్ బొమ్లి కీంతేర్	దురాడి పండుగ చందమామ కనిపించింది పిల్లలు అల్లరి చేస్తారు
తోల- పుడీ ఆతెకే మేందోల్ బయ్ దదూల్క్ వాంత	తోలపుడి అయితే శరీరమంత పొక్కులు అవుతాయి
రాణి రాజాన్ దండోస్ కీంత	రాణి రాజుకు వందనం చేసింది
మర్క మర్రత్ బూడ్ చోకోట్ దడ్మి మందంత	మామిడి చెట్టు క్రింద మంచిగా నీడ ఉంటుంది
నుల్లెంగ్ కస్క్తెకే మేందోల్ బయ్ దడూల్క్ వాంత	దోమలు కుట్టితే శరీరమంత పొక్కులు వస్తాయి
డగూర్ పిర్ వాలెకే ఊస దర్డీ నించీ దాంత	పెద్దవాన పడితే వాగు ఒడ్డు నిండ ప్రవహిస్తుంది
కాపితంగ్ పాస్క్ దవ్రలిక్ మందంతంగ్	నోటు పుస్తకములోని కమ్మలు తెల్లగ ఉంటాయి
మూరన్ దామ్మీనే కుటన్‌గ దోహంతేర్	ఆవులను కుట్టలలో కట్టుతారు
నార్ నాటే దియ్య దోర్నా కోయ బాయిక్ జాస్త దిక్డీంగ్ పోండంతంగ్	ఊళ్ళలో చాల మంది ఆడవాళ్ళు చీరలు కట్టుతారు
బగ్గ దాంతీ? దీరా, నన్న గిర్ వాంతోన్	ఎక్కడికి వెళ్ళుతున్నావు ఆగు నేను కూడ వస్తాను
యెద్దితే దుపార్ దుపారి ఆతెకే సేర్క్ సుట్టి కీంతేర్	వేసవిలో ప్రొద్దు ఎక్కి ఎండెకువైతే మధ్యాహ్నం నాగలి పని విడిచి పెట్టుతారు
రోస్ దులాల్‌తగ ఊకడ్ దొహంతేర్	ఇంటి దూలలకు ఉయ్యాల కట్టుతారు
వడీ, గర్ట్‌వల్, మిడ్చవల్, పిర్, తేన్ ధుందాడ్ ఇంతేర్	ఉరుములు, మెరుపులు వాన, జోరుగా ఉన్న దానిని తుఫాన్ అంటారు
వాప్టుస్ పాక్ కీనెకే ధూరా వాటంతేర్	చేను పంచెటప్పుడు హద్దులు వేస్తారు
నడ్వజ్ గరీతగా దొస్సీ మీన్క్ పియంతేర్	వాన పాములను గాలనికి తగిలించి చేపలు పట్టుతారు
ఇగ్గే బోరే వానిర్, నాసాటి నద్దూర్- కీం	ఇక్కడికి ఎవరైన వస్తారు నా కొరకు కొద్దిగ చూడు
మూర పియ్యత్ నాకంత	ఆవు దూడను నాకు తుంది
పంచమిత్ నేటి సమ్దిర్ నాగ్(నాయుం) తరాస్‌న పూజ కీంతేర్	పంచిమి రోజు అందరు నాగు పామును పూజ చేస్తారు
వాప్లై ఊడ్లే నాయ్‌జౌల్ కాం సీంత	చేను దున్నుటకు నాగలి పనికిస్తుంది
పోరత్ నేటి సమ్దిర్ హన్మంతన్‌గ నారేల్క్ వొహంతేర్	పొలాల పండుగ రోజున అందరు నార్ నీరే అంజనేయుని గుడిలో టెంకాయ కొట్టుతారు
సక్రే సొద్దెడగా తడ్మి నిరూసంతేర్	ప్రొద్దున పొయ్యిలో అగ్గి చేస్తారు
కటూల్ అర్తెకే నితూసంతేర్	మంచం పడితే లేపుతారు
కాండిర్ సెయ్‌కల్కున్ కరూం నిల్సి మంతేర్	పిల్లలు సైకలు ప్రకన నిలబడి ఉన్నారు
పోరత్ నేటి హన్మంతనగా నివోద్ వోంతేర్	పొలాల పండుగ రోజు అంజనేయునికి నైవేద్యము చూపుతారు
వీర్ నలద్గా యేర్ నిహంతేర్	వీరు నల్లా దగ్గర నీళ్ళు నింపుకుంటున్నా రు
కటుడున్ నుల్కాతే సరియంతేర్	మంచంను నుల్కాతో అల్లుతారు
నెయ్ నొడోంజ్ కేడతె చిలల్ మందంత, యేడూంగ్ రంక్ మారీయంత	ఊసిరవెల్లి అడవిలో ఉంటుంది ఏడు రంగులు మారుస్తుంది
కాసూడ్‌సాటీ, డివెత్‌సాటీ నెరోండాన నియ్ తెండంతేర్	ఎడ్ల బండి కొరకు ద్వీపము కొరకు ఆముదము నూనే తీస్తారు
నర్కాక్ నెలేంజ్ ఉండే సుక్కుక్ దిసంతంగ్	రాత్రి పూట చంద్రుడు నక్షత్రలు కనిపిస్తాయి
నెహాలీ కీసి సొత్తోర్	అల్పహారము చేసి వెళ్ళినాడు
చెహ కాస్త మంత, నేహార్ ఉన్	చాయ వేడిగా ఉంది మెల్లగా త్రాగు
సమ్దిర్ కుటుంబాలీర్ ఉంది రోస్ మీరే మాసి నొవోంగ్ కీంతేర్	ఒకే కుటుంబీకులందరు కలిసి క్రొత్త దినుసుల పండుగ చేసి తింటారు
ఇజే మర్మింగ్ అయివన్ నొవ్రాల్ ఇంతేర్	ఇప్పుడు పెళ్ళి అయ్యె అబ్బాయిని పెండ్లి కొడుకు అంటారు
ఇజే మర్నింగ్ ఆయేన్ నొవి ఇంతేర్	ఇప్పుడు పెళ్ళి అయ్యె అమ్మాయిని పెండ్లి కూతురు అంటారు
బుయింత నోడే నోటంతేర్	జనుమలో తాడు అల్లుతారు
జొన్నంగ్ నూసింగ్ ఆతెకే బూడ్ యెద్దితే పగ్రీ కీంతేర్	జొన్నలలో పురుగులు అయితే ఎండ బెట్టుతారు
మర్మిన్‌గ పటాడి పేప్రెంగ్ ఉహ్కంతోర్	పెండ్లిలో ప్రధాన్ వారు సన్నాయి వాయిస్తారు
సాడ కాండిర్ ఆంగ్లే కోస్‌కీసి పట్టా కెరంతేర్	బడి పిల్లలు చొక్క తోపల వేసి బెల్టు వేసుకుంటారు
మరక్, పొదేలంగ్ మనోంగ్, అద్ జాగతున్ పడిద్ ఇంతేర్	చెట్లు, చేమ ఉండని ఆ స్థలమును పడిద్ అంటారు
ఉంది సారిత్ నాలుంగ్ టుక్డైగ్ కీతెకే ఉంది టుక్డైత్ పడెమేన్ ఇంతేర్	ఒక రొట్టెను నాలుగు ముక్కలు చేస్తే ఒక ముక్కను పావు అంటారు
వోన్ బెయే- బాబాల్ సెల్లేర్, అదేన్ లాసి మొమొట్ పత్పార్ కీంతోం	ఆయనకు అమ్మా నాన్నలు లేరు అందుకని మేము అతనిని పెంచుతున్నాము
